dataset,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,can_cor.mean,can_cor.sd,ch,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,int,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,nre,ns_ratio,p_trace,pb,range.mean,range.sd,roy_root,sc,sd.mean,sd.sd,sd_ratio,sil,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,vdb,vdu,w_lambda
openml_1StudentPerfromance_43255,0.022943275917290246,0.045250224672693594,1.2415285446080762,1.0584735416873634,0.014,0.7974696892563021,0.20895718125363705,63.06540899081075,0.002830700197909607,0.0037383928533453415,0.9990649315776106,0.12138426230244237,0.16580545585018927,6.6113502843502845,34.619890994445036,48.26949728299725,162.36089111859232,86.5620462708482,0.5,0.02545584412271573,9.540524203920057,24.253008433844673,12.677081453455356,9.225940386809075,23.454458208661453,71.42857142857143,32.598460295839146,4.660714285714286,8.55502952769774,2.2290518713528757,1.0378685503678453,1.1314352087531259,3.7189908581877766,1.7469350784175863,3.2829,6.532209734609189,22.214285714285715,42.15571604900569,14.694071428571428,28.771325895129277,14.642857142857142,29.10883329548225,1.9285714285714286,5.090931389989697,0.011541604832810764,0.0233309179106771,14.0,11.0,2.0,0.03296703296703297,1.0,1000.0,0.0,14.0,10.0,0.6924990405193354,106.56983648223925,0.635957905282543,-0.07484605533154688,20.285714285714285,38.46962552341896,1.7469350784175863,0.0,3.5218819333168865,6.214881823437548,1.1673732681615896,0.08872892320279033,1.1975470315899688,1.1713848898563421,0.3950537380872478,0.20754837825068145,14.68095238095238,29.01710155725211,48.26949728299728,95.67650693416581,3.3110185162102854,2.5334090595863928e-08,0.3640420947174569
openml_acute-inflammations_1556,0.10743062316399,0.12663304982868845,1.1122714794209874,0.440167083879265,0.05,0.9621684056737995,0.20895718125363705,14.367787044620318,0.21645395307633872,0.2133015592144415,0.999799616411146,0.25519126430901384,0.22263673719075133,0.10286554621848733,0.13220389810243674,0.7433939075630253,1.3198588169089542,5.265350925047003,0.5,0.01178511301977579,6.446982721848919,15.791818049069304,1.3859963654262664,6.439962512413388,15.77462211806478,20.0,2.91166938999834,1.25,1.1726039399558574,1.9221882882769614,0.5067882447145854,-1.5816664391437794,0.5282291169444009,12.471286650823284,0.3830050000000002,0.9381668189346717,7.75,16.53405576378645,6.854027777777777,15.613797587894519,6.658333333333334,15.337549239258099,5.916666666666667,14.492814311467138,0.1898828075551718,0.17769599661060867,6.0,5.0,2.0,0.2,1.0,120.0,0.0,6.0,1.0,0.6930082852403007,4.857673444699878,0.9257680408768612,-0.17997892429426765,1.8333333333333333,2.0412414523193148,12.471286650823284,0.0,0.7024293445436872,0.5477082327155047,1.1673732681615896,0.15513195977773603,0.10603236638937741,0.6444643403807542,0.41558441558441556,0.1964831344478485,6.83287037037037,15.59584716573205,0.7433939075630253,1.2572443267749727,2.7044364714995894,4.5074026432554193e-05,0.07423195912313885
openml_algerian_forest_fires_46279,0.1362252444316345,0.1393112655116663,2.448728166139793,0.2874563176522852,0.04938271604938271,0.8439905600197826,0.20895718125363705,96.55601456819862,0.10221652618347894,0.07221989409074012,0.9882282914687799,0.3757621954579874,0.284977493855549,59.92779211098847,114.31906748040286,269.24704400911463,776.364362632977,2.505385974376415,0.5,0.09020703792914801,21.323378324773277,24.533227580325235,61.17591011366285,18.933741152359566,24.051326039678326,20.25,77.15527062537373,13.9125,15.140945764263325,3.042514921822955,0.3624296933648289,2.688235135839376,7.155124927189925,2.4760853286453424,9.278605,9.534745164682025,59.85,58.10034423305942,25.344650205761315,24.843012604131996,23.48333333333333,25.70149742129765,7.7749999999999995,10.17958072006719,0.39444153578561786,0.30056902401319713,12.0,0.0,2.0,0.3787878787878788,1.0,243.0,0.0,12.0,9.0,0.6849876539811566,5.208089016950528,0.7123200654025061,-0.22967974119937545,52.07500000000001,56.01902477162233,2.4760853286453424,0.0,11.121637247179796,12.601135401279205,1.8275864683725633,0.23722604607462752,0.8314810391785538,1.4507766800231876,0.035392644155306165,0.06904219955413467,23.85017006802721,25.27451911109451,269.2470440091147,636.5496873630327,1.2508687524372497,2.1749445862854606e-06,0.28767993459749386
openml_analcatdata_boxing2_444,0.004150795093491239,0.004602148917082896,0.44510482541716107,0.09031156106834515,0.16666666666666666,0.7342591218996329,0.20895718125363705,3.3397603456307308,0.026711760018187456,0.030780654529311224,0.9958560657511164,0.05370016237946135,0.07520722201682835,0.004910560948034926,0.00882861594628916,0.08542310684919983,0.05386171488646161,44.641311270596674,0.5,0.053568695544435406,0.0,0.0,0.43351622889908326,0.0,0.0,6.0,1.93676249178912,0.045454545454545456,0.2132007163556105,1.418652942826109,0.09939063897083432,6.134628938315664,1.664102947215929,1.1698396793587216,0.0,0.0,1.0,0.0,0.09538567493112948,0.039790097279553155,0.0,0.0,0.0,0.0,0.022307948342168083,0.02667511984110491,22.0,22.0,2.0,0.012987012987012988,1.0,132.0,0.0,22.0,21.0,0.6902748242189058,18.95274592669699,0.5391364580928201,-0.07047314563817857,1.0,0.0,1.1698396793587216,0.0,0.290210418852789,0.03547127076727371,1.1673732681615896,0.020234715118064815,2.815309803332916,0.41198103405190584,0.4961832061068703,5.681747469389975e-17,0.005681818181818182,0.026650089544451312,0.08542310684919983,0.025753254331027584,6.180804662159756,0.00010325873828214221,0.4608635419071799
openml_anneal_2,0.027924105902799597,0.09463191803319354,0.5786100845846802,0.7403358244548505,0.034521158129175944,0.8133524256424136,0.1555883600865152,4.2639270226139825,0.10045374126000749,0.18321643190805922,1.1898338562043977,0.08221825279075347,0.10961794520368606,276.5165568584877,4905.6467649946735,118724.45153570281,629220.722341986,16.921038689074155,0.2,0.3162118837219235,0.030972905726672318,0.17244984071826,1331.1279522857694,0.025470752559155763,0.14181514839332907,28.967741935483872,1812.7622795572543,45.422548387096775,175.7288216770068,1.6981271075220592,0.6867645446231049,109.19859870393076,261.946198281628,1402765.2805316155,41.38367032258064,174.09959436186313,235.1290322580645,911.5615810953378,67.54145401968532,262.3296440920326,39.44516129032258,152.44551997070883,0.007741935483870968,0.04310527248642598,0.07031683326701857,0.09521784860365295,31.0,25.0,5.0,0.012903225806451613,4.0,898.0,0.0,31.0,25.0,0.8247299827628457,7.2286140843045,2.7187918865768252,0.0028406088446354455,235.12129032258065,911.563610535004,1402760.39027509,1.0,78.60108946697669,341.0247267857826,1.1673732681615896,-0.38810433525211385,6.64333802704174,8.308254807833727,0.4169064718705839,0.17276579401623518,41.376547431302264,163.19062550041463,118724.4515357031,628627.0158077222,7.323313731818037,2.8985513990430666e-10,4.681356441940944e-08
openml_appendicitis_test_edsa_45613,0.18803452110114946,0.1873888739273921,1.9965461389543875,0.006437768004961792,0.0660377358490566,0.6131455287647105,0.20895718125363705,22.677887782001076,0.07408688682002361,0.022478518334070385,0.7181384220154764,0.4799639852707693,0.33139983824888436,0.019308209587986142,0.01364894433321726,0.04005634161211656,0.062277989231332695,4.692887615818999,0.5,0.4269323961881042,0.0,0.0,0.5594535414070583,0.0,0.0,15.142857142857142,0.8208215117545197,0.24135714285714285,0.030446625819777216,2.5616575803972323,0.0440133340106176,1.1397997633112111,1.7503416308859323,0.6024291272986687,0.1568379,0.018947223620098014,1.0,0.0,0.41791239892183285,0.2018300402006515,0.42942857142857144,0.252863670214378,0.0,0.0,0.1530269805726314,0.044509732818339004,7.0,0.0,2.0,0.5238095238095237,1.0,106.0,3.0,7.0,7.0,0.49777562247179563,12.047020410931811,0.37594743944415643,-0.31159499158269455,1.0,0.0,0.6024291272986687,0.0,0.19977201232692085,0.013117373471747913,1.1673732681615896,0.2543495874236335,0.22471216468810265,1.170306254159053,0.005786448613091952,0.006892010938287105,0.41984151785714285,0.23824052220727687,0.04005634161211654,0.0051905071204746975,1.5411816202912527,2.3230330178776633e-05,0.6240525605558436
openml_ar1_1059,0.33171599748609293,0.21467333510268075,1.7810885798873664,0.4553534230511084,0.2396694214876033,0.5672693527642966,0.20895718125363705,11.115565981160549,0.015039145025960897,0.008584331744811248,0.3820609539404418,0.524517777293334,0.32098301417489095,11329.894768880344,117248.19963137944,1217228.0538572972,6552403.234635063,10.491308314859186,0.5,0.601917342662929,27.606721283402095,100.08330618767886,6590.815896791772,5.67680256591097,10.68183604048637,4.172413793103448,8745.527571193252,136.79275862068965,598.8045103483664,2.1267326311428194,0.4451530390222479,7.514310749288656,9.655508967821447,0.4744793833198335,51.831696000000015,210.75788941000525,1552.0310344827587,7472.762155864718,119.61401823881447,529.4699763985523,38.880344827586214,149.1597788442878,0.979655172413793,1.3917498819795704,0.0364169026849889,0.02244277333451502,29.0,0.0,2.0,0.5147783251231527,1.0,121.0,0.0,29.0,26.0,0.2648244730258604,47.90829391214354,0.32179451858562397,-0.24924844593329212,1551.051379310345,7472.164196522855,0.4744793833198335,1.0,232.2809081868085,1097.6425285409082,1.1673732681615896,0.5509717611512945,2.1927148655498967,1.3301063483082756,0.056183819052108314,0.07521988056473199,54.83379310344827,221.28147846591716,1217228.0538572958,6521700.728315743,1.7027788434787516,0.0,0.6782054814143761
openml_ar4_1061,0.28824474621601043,0.21474690535557028,1.8470487646493126,0.4286910033150348,0.27102803738317754,0.7201692671979346,0.20895718125363705,23.820337575376044,0.05528030758571103,0.01821403638498079,0.6949749673676273,0.5368821252930692,0.34861291321792237,370222.3068153743,4602336.8315436505,53755738.56523402,289470056.474574,5.942316113450117,0.5,0.44276779756540824,135.33293916590065,573.8550345218075,43347.42984025096,32.405161953164345,100.7132409357359,3.689655172413793,48029.05440734858,394.51597586206896,1815.017033610791,2.4250701815663693,0.398531968026429,17.093036118427904,13.192074632022639,1.0774635182294563,221.79372639827585,1004.9798378110661,12769.056661034485,62867.61892990778,594.8054013132773,2812.2057449720337,172.383123,749.135438398604,4.086141075862069,9.011453212067979,0.11695355045057068,0.047477488875278764,29.0,0.0,2.0,0.5615763546798029,1.0,107.0,1.0,29.0,29.0,0.48171993919061085,14.793011477919606,0.5186437734164101,-0.321360654157211,12764.970519958619,62859.87379352916,1.0774635182294563,0.0,1490.807531866482,7305.730902558528,1.1673732681615896,0.562812026801542,3.2638718048034217,1.8029919954333693,0.030492073631717218,0.05539653431426797,209.81371483342176,922.2150894137693,53755738.56523406,288402822.5639113,1.3318730547114064,9.871625922450477e-08,0.4813562265835899
openml_ar6_1064,0.2789641230623254,0.20311101811148746,1.7784659187999545,0.43530214323408206,0.2871287128712871,0.6936834462312043,0.20895718125363705,3.1212713050978316,0.022413978157452906,0.017813494548267965,0.6061112071230007,0.433527795219747,0.32509787649687233,9607.511418044627,72974.09015863232,691267.0400601425,3073981.9349782187,15.279767179229555,0.5,0.49707506400242446,30.15079807398173,111.17330790408407,2190.2586755418056,8.02347662832473,19.058275508887977,3.4827586206896552,5804.977296955318,123.9151724137931,542.0372081628759,2.344909557692798,0.4392592790470599,11.547024447344876,17.104955045689586,0.9275128848284154,48.35474337931034,192.57029934225028,1315.4224137931035,4309.5491689060655,119.2550734038921,474.1544169231083,38.314827586206896,142.52416573591725,0.8389655172413792,1.383931627201457,0.039667568230156915,0.024960579915074093,29.0,0.0,2.0,0.4458128078817734,1.0,101.0,1.0,29.0,27.0,0.42012427432309296,43.83425624885903,0.48119672357520005,-0.20614761072547835,1314.583448275862,4309.139818456709,0.9275128848284154,0.0,235.7261848957118,811.4208430856024,1.1673732681615896,0.3357706151964276,2.69830914952945,2.150997561019475,0.04594872285418544,0.05596949613242167,52.55183719615603,210.99001690544262,691267.0400601424,3048382.713518955,3.7792391224824167,2.3518527986223958e-07,0.5188032764248
openml_arsenic-male-bladder_947,0.0005660339109848089,0.0,0.3470636878947057,0.7103429701300832,0.08050089445438283,0.7673832168349423,0.20895718125363705,306.04941928246194,0.0021750441971562667,0.004055408171749115,0.2555855667489857,0.027538724695035686,0.027954600204455917,8671.23410743258,261651.28304435266,965330101.1921197,6475621078.515601,65.26114669241481,0.5,0.6463892042689192,9.035923587064763,53.66515521726932,611734.0016945235,4.517309367564109,24.38294863314162,12.422222222222222,612077.2504131992,21.488888888888887,97.59671711650547,0.5987329034959926,0.7012528761283362,37.605501071072965,12.94490706466553,1.4323620999062563,14.562426666666665,65.94448751298458,65726.58888888889,440746.0060236364,602.3170940170942,3984.9663311610148,14.61111111111111,63.95069912981342,0.7222222222222222,3.6393611382974203,0.003916351147698911,0.010949774434392311,45.0,42.0,2.0,0.0,1.0,559.0,0.0,45.0,43.0,0.17715841498387513,87.61914440400123,0.588877001479944,-0.5779118693697234,65725.86666666667,440744.59148626094,1.4323620999062563,0.0,4637.9322403891565,31068.796776324234,1.1673732681615896,0.9354355495171841,6.111359030119461,1.37480965981397,0.4680615619447804,0.11774351887312227,15.773590504451038,69.48630029226122,965330101.1921198,6475620840.620697,1.1064157474015859,5.2683230683659015e-11,0.41112299852005596
